epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,788.025,1.00073,0.74873,1.32117,0.94905,0.85775,0.92592,0.66785,0.98536,0.63443,1.37536,0.00150941,0.00150941,0.00150941
22,824.899,1.00112,0.71559,1.30411,0.88633,0.89069,0.93451,0.69056,0.98525,0.59531,1.3611,0.00149384,0.00149384,0.00149384
23,861.85,1.00046,0.72788,1.30762,0.91135,0.87905,0.9313,0.67493,0.99776,0.61295,1.40363,0.00147764,0.00147764,0.00147764
24,897.464,0.98126,0.74636,1.32075,0.92757,0.90217,0.94146,0.6855,0.94495,0.58852,1.34911,0.0014608,0.0014608,0.0014608
25,933.146,0.96435,0.74093,1.28506,0.93182,0.87274,0.92991,0.67316,0.98294,0.63688,1.37683,0.00144335,0.00144335,0.00144335
26,969.332,0.95257,0.69399,1.27803,0.93909,0.89185,0.95158,0.70169,0.95023,0.54103,1.33342,0.00142531,0.00142531,0.00142531
27,1004.82,0.97165,0.71659,1.29065,0.95813,0.90308,0.95124,0.69121,0.96072,0.56634,1.34224,0.0014067,0.0014067,0.0014067
28,1041.17,0.96194,0.70987,1.2853,0.95704,0.90935,0.96029,0.70095,0.94642,0.52914,1.34426,0.00138753,0.00138753,0.00138753
29,1076.6,0.94434,0.68413,1.28055,0.95258,0.88377,0.92486,0.69678,0.91953,0.53454,1.31536,0.00136781,0.00136781,0.00136781
30,1113.76,0.95025,0.67444,1.28474,0.95553,0.87985,0.94911,0.69601,0.92759,0.56907,1.31616,0.00134758,0.00134758,0.00134758
31,1149.72,0.94049,0.67195,1.26534,0.92271,0.90899,0.94683,0.71094,0.93909,0.55085,1.32231,0.00132685,0.00132685,0.00132685
32,1184.93,0.92355,0.66467,1.25957,0.9462,0.92047,0.95098,0.69839,0.92162,0.52315,1.32568,0.00130565,0.00130565,0.00130565
33,1221.49,0.91599,0.63578,1.2608,0.96467,0.9097,0.9622,0.71884,0.89353,0.50426,1.29971,0.00128398,0.00128398,0.00128398
34,1256.64,0.91247,0.62207,1.25175,0.93781,0.90864,0.95284,0.70983,0.89713,0.53375,1.29145,0.00126188,0.00126188,0.00126188
35,1293.55,0.88543,0.601,1.23541,0.96721,0.92218,0.96044,0.72413,0.87395,0.48218,1.27355,0.00123936,0.00123936,0.00123936
36,1330.53,0.89694,0.60562,1.23649,0.94237,0.87645,0.93494,0.71288,0.86671,0.57115,1.26408,0.00121645,0.00121645,0.00121645
37,1367.24,0.88996,0.60589,1.23203,0.97006,0.92232,0.96215,0.72867,0.88969,0.47274,1.27462,0.00119317,0.00119317,0.00119317
38,1403.08,0.87112,0.60183,1.22703,0.95567,0.9264,0.96073,0.73012,0.87411,0.45692,1.26908,0.00116955,0.00116955,0.00116955
39,1440.37,0.87024,0.59026,1.22945,0.94769,0.93562,0.95822,0.7318,0.86839,0.47743,1.26547,0.0011456,0.0011456,0.0011456
40,1475.58,0.87087,0.59332,1.23298,0.97704,0.92474,0.96326,0.73174,0.85945,0.44949,1.2675,0.00112135,0.00112135,0.00112135
41,1512.37,0.87032,0.57637,1.21367,0.95694,0.89562,0.95263,0.71404,0.89928,0.51025,1.29877,0.00109683,0.00109683,0.00109683
42,1549.55,0.86505,0.59411,1.21878,0.97119,0.92674,0.96646,0.73791,0.84647,0.46188,1.24598,0.00107205,0.00107205,0.00107205
43,1586.38,0.8497,0.58404,1.22351,0.96749,0.90734,0.9654,0.74231,0.8818,0.49598,1.27382,0.00104705,0.00104705,0.00104705
44,1621.5,0.85711,0.56893,1.21498,0.96224,0.93588,0.95952,0.72908,0.88354,0.46708,1.27219,0.00102184,0.00102184,0.00102184
45,1657.88,0.84992,0.56469,1.21106,0.96819,0.9144,0.9615,0.74624,0.8333,0.46088,1.23438,0.000996456,0.000996456,0.000996456
46,1693.37,0.84041,0.55626,1.2062,0.97218,0.93256,0.96884,0.74959,0.82915,0.41821,1.22135,0.000970919,0.000970919,0.000970919
47,1730.27,0.80753,0.52259,1.19485,0.96462,0.91069,0.95384,0.7289,0.85605,0.47338,1.25829,0.000945256,0.000945256,0.000945256
48,1768.35,0.82781,0.55351,1.20423,0.94609,0.94745,0.97455,0.74845,0.83414,0.42757,1.24399,0.00091949,0.00091949,0.00091949
49,1803.86,0.83664,0.54544,1.20405,0.9797,0.93231,0.97001,0.7543,0.83136,0.43072,1.23376,0.000893648,0.000893648,0.000893648
50,1840.61,0.83046,0.53512,1.20065,0.95793,0.93527,0.96245,0.7464,0.82487,0.44061,1.22499,0.000867754,0.000867754,0.000867754
51,1875.34,0.82175,0.52348,1.19579,0.9762,0.92047,0.96188,0.74691,0.85432,0.45611,1.25766,0.000841835,0.000841835,0.000841835
52,1911.57,0.79154,0.51361,1.17572,0.92805,0.93968,0.95529,0.73627,0.82687,0.46147,1.23142,0.000815916,0.000815916,0.000815916
53,1946.95,0.79797,0.50859,1.1692,0.98341,0.93006,0.97318,0.76578,0.81621,0.42011,1.21168,0.000790022,0.000790022,0.000790022
54,1984.18,0.80338,0.5019,1.18563,0.97264,0.93219,0.96773,0.74906,0.8269,0.43725,1.2248,0.00076418,0.00076418,0.00076418
55,2020.43,0.7907,0.51749,1.18357,0.95744,0.95302,0.97599,0.74887,0.81677,0.42205,1.21158,0.000738414,0.000738414,0.000738414
56,2057.17,0.79334,0.51953,1.17133,0.98174,0.95422,0.97861,0.76961,0.78485,0.38259,1.20518,0.000712751,0.000712751,0.000712751
57,2092.91,0.78299,0.48465,1.17297,0.97503,0.93822,0.9684,0.76808,0.77155,0.39821,1.19596,0.000687214,0.000687214,0.000687214
58,2129.44,0.77048,0.47716,1.16506,0.98103,0.92823,0.96377,0.76027,0.81761,0.41781,1.22094,0.000661831,0.000661831,0.000661831
59,2164.94,0.75712,0.47377,1.16282,0.96489,0.9462,0.96499,0.77096,0.78122,0.407,1.18892,0.000636625,0.000636625,0.000636625
60,2201.97,0.77159,0.4768,1.16231,0.96692,0.96382,0.97147,0.77696,0.77548,0.38821,1.18633,0.000611621,0.000611621,0.000611621
61,2239.8,0.74702,0.46304,1.15397,0.96928,0.90272,0.95662,0.76002,0.79717,0.4424,1.20378,0.000586845,0.000586845,0.000586845
62,2276.31,0.75014,0.46744,1.155,0.95621,0.93902,0.96065,0.7712,0.77641,0.4091,1.20121,0.00056232,0.00056232,0.00056232
63,2313.6,0.7257,0.44742,1.1348,0.93716,0.94712,0.96908,0.78055,0.76156,0.41884,1.1731,0.000538072,0.000538072,0.000538072
64,2349.29,0.73559,0.44038,1.1433,0.97197,0.92935,0.96661,0.77476,0.7709,0.40943,1.18826,0.000514122,0.000514122,0.000514122
65,2386.28,0.72415,0.45185,1.1406,0.96795,0.94832,0.97757,0.79216,0.76203,0.38683,1.18038,0.000490497,0.000490497,0.000490497
66,2421.8,0.73067,0.45263,1.14336,0.97445,0.93244,0.96464,0.77516,0.74969,0.38206,1.17691,0.000467218,0.000467218,0.000467218
67,2460.39,0.73461,0.45126,1.14248,0.95653,0.93231,0.97296,0.77926,0.7756,0.41372,1.17572,0.000444309,0.000444309,0.000444309
68,2495.62,0.725,0.43061,1.13702,0.97855,0.95006,0.97532,0.78398,0.76031,0.36823,1.16024,0.000421792,0.000421792,0.000421792
69,2532.87,0.70968,0.43573,1.12937,0.96547,0.94903,0.97491,0.78477,0.7585,0.37152,1.16494,0.000399689,0.000399689,0.000399689
70,2568.76,0.69801,0.43881,1.12274,0.96786,0.95118,0.97596,0.78271,0.75326,0.37615,1.17974,0.000378023,0.000378023,0.000378023
71,2605.89,0.69841,0.43021,1.12967,0.97605,0.92639,0.96682,0.78981,0.74653,0.38811,1.16395,0.000356815,0.000356815,0.000356815
72,2641.71,0.67096,0.41482,1.11927,0.97202,0.94414,0.96575,0.77506,0.7484,0.37353,1.17134,0.000336086,0.000336086,0.000336086
73,2680.26,0.67317,0.41123,1.11203,0.97249,0.92935,0.96678,0.79179,0.73664,0.37646,1.16836,0.000315855,0.000315855,0.000315855
74,2717.22,0.66229,0.40154,1.10206,0.96839,0.94118,0.9662,0.78533,0.73601,0.36913,1.16557,0.000296144,0.000296144,0.000296144
75,2752.98,0.67949,0.41701,1.10201,0.95808,0.95598,0.96682,0.79526,0.73952,0.36189,1.16144,0.000276971,0.000276971,0.000276971
76,2790.17,0.66084,0.40608,1.10279,0.97249,0.94612,0.97285,0.79658,0.73102,0.35301,1.16034,0.000258355,0.000258355,0.000258355
77,2825.75,0.65931,0.39937,1.10475,0.96517,0.94414,0.96657,0.79236,0.7342,0.35386,1.16466,0.000240316,0.000240316,0.000240316
78,2862.81,0.6394,0.39827,1.08848,0.97468,0.94414,0.97253,0.7941,0.72935,0.35185,1.15738,0.00022287,0.00022287,0.00022287
79,2900.51,0.66465,0.39648,1.10747,0.96657,0.94414,0.97507,0.80068,0.72303,0.35091,1.14632,0.000206034,0.000206034,0.000206034
80,2937.04,0.64256,0.38402,1.09233,0.97494,0.95263,0.97111,0.79796,0.71986,0.34801,1.14498,0.000189827,0.000189827,0.000189827
81,2973.19,0.64036,0.39128,1.0885,0.97694,0.95747,0.97421,0.80052,0.71239,0.34371,1.14692,0.000174262,0.000174262,0.000174262
82,3009.46,0.64919,0.40024,1.10073,0.97452,0.95257,0.97197,0.79466,0.72427,0.34992,1.16282,0.000159357,0.000159357,0.000159357
83,3046.62,0.63789,0.39772,1.09069,0.96863,0.95513,0.9712,0.79515,0.70497,0.34103,1.14397,0.000145125,0.000145125,0.000145125
84,3082.68,0.62675,0.38245,1.09261,0.9771,0.9471,0.97166,0.79662,0.72005,0.3495,1.15172,0.000131581,0.000131581,0.000131581
85,3121.87,0.63548,0.38574,1.0914,0.97336,0.94591,0.97527,0.79882,0.72117,0.34496,1.15225,0.000118737,0.000118737,0.000118737
86,3157.28,0.62469,0.38033,1.09065,0.97592,0.95006,0.97578,0.80393,0.71646,0.34134,1.14681,0.000106608,0.000106608,0.000106608
87,3194.5,0.61425,0.3744,1.08047,0.97446,0.95302,0.97162,0.79384,0.71045,0.33999,1.1475,9.52034e-05,9.52034e-05,9.52034e-05
88,3230.02,0.62321,0.38137,1.085,0.97687,0.95006,0.96897,0.79377,0.71266,0.34496,1.15037,8.4536e-05,8.4536e-05,8.4536e-05
89,3267.46,0.60311,0.36565,1.07814,0.97161,0.9471,0.9705,0.7981,0.71423,0.34873,1.14907,7.4616e-05,7.4616e-05,7.4616e-05
90,3304.17,0.60457,0.36517,1.0798,0.97168,0.94917,0.97116,0.80425,0.70651,0.34448,1.14177,6.54531e-05,6.54531e-05,6.54531e-05
91,3343.1,0.49619,0.27161,1.0208,0.96119,0.95302,0.9674,0.79683,0.69843,0.34316,1.14624,5.70564e-05,5.70564e-05,5.70564e-05
92,3378.26,0.47951,0.25293,1.00452,0.9782,0.94377,0.96596,0.79487,0.70289,0.34553,1.14737,4.94343e-05,4.94343e-05,4.94343e-05
93,3414,0.48048,0.25333,1.01051,0.97416,0.94118,0.96702,0.79736,0.70262,0.3445,1.14421,4.25941e-05,4.25941e-05,4.25941e-05
94,3448.7,0.46723,0.24386,0.99706,0.95923,0.95598,0.96922,0.80308,0.69723,0.33756,1.1436,3.65426e-05,3.65426e-05,3.65426e-05
95,3484.76,0.46952,0.24967,1.00741,0.96018,0.95569,0.97009,0.80629,0.6959,0.34069,1.14286,3.12859e-05,3.12859e-05,3.12859e-05
96,3519.4,0.45533,0.23801,0.98931,0.96601,0.94816,0.97139,0.80655,0.69179,0.33811,1.14043,2.68292e-05,2.68292e-05,2.68292e-05
97,3556.46,0.46057,0.24078,0.99219,0.96603,0.94718,0.97141,0.80664,0.69496,0.33456,1.14409,2.31767e-05,2.31767e-05,2.31767e-05
98,3591.18,0.44859,0.2361,0.98615,0.96615,0.94227,0.97279,0.80657,0.69384,0.33701,1.14484,2.03321e-05,2.03321e-05,2.03321e-05
99,3626.56,0.45128,0.23531,0.99293,0.95457,0.9553,0.97166,0.80707,0.69376,0.33671,1.14425,1.82983e-05,1.82983e-05,1.82983e-05
100,3661.08,0.45674,0.23881,0.99145,0.96613,0.94781,0.97243,0.80536,0.69251,0.33476,1.14491,1.70772e-05,1.70772e-05,1.70772e-05
