epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7494,1.29466,1.8616,1.62687,0.66516,0.7543,0.74496,0.46064,1.34556,2.14326,1.82797,0.000549205,0.000549205,0.000549205
2,75.2476,1.26998,1.2202,1.55115,0.64442,0.51714,0.57022,0.32944,1.69916,2.75977,2.32263,0.0011046,0.0011046,0.0011046
3,112.893,1.33373,1.28997,1.57851,0.129,0.67241,0.1044,0.05533,1.53392,4.99781,1.99059,0.00165892,0.00165892,0.00165892
4,150.078,1.30167,1.25733,1.54698,0.64576,0.67241,0.66244,0.40709,1.45803,2.93389,1.90131,0.00166334,0.00166334,0.00166334
5,188.949,1.27944,1.18525,1.52116,0.78025,0.71655,0.75992,0.48035,1.34402,1.39975,1.77799,0.00166049,0.00166049,0.00166049
6,228.461,1.25347,1.10105,1.51009,0.80215,0.76585,0.82478,0.52836,1.34671,1.06917,1.75287,0.00165684,0.00165684,0.00165684
7,267.467,1.20815,1.05294,1.46913,0.83955,0.76757,0.85353,0.53497,1.31886,0.9543,1.72517,0.00165238,0.00165238,0.00165238
8,306.588,1.23067,1.0662,1.47789,0.88537,0.78875,0.88308,0.60949,1.14584,0.82708,1.56329,0.00164713,0.00164713,0.00164713
9,345.108,1.15141,0.979,1.42628,0.869,0.83628,0.89007,0.5946,1.23151,0.83918,1.63382,0.00164108,0.00164108,0.00164108
10,380.25,1.1481,0.96843,1.41723,0.92124,0.85162,0.90873,0.62184,1.08857,0.8441,1.51473,0.00163424,0.00163424,0.00163424
11,418.67,1.08676,0.89921,1.36474,0.9358,0.85151,0.91564,0.61986,1.09714,0.7907,1.50409,0.00162661,0.00162661,0.00162661
12,457.309,1.11557,0.90388,1.39075,0.95586,0.85385,0.92571,0.65093,1.04668,0.70145,1.44278,0.00161822,0.00161822,0.00161822
13,497.981,1.09063,0.85728,1.3806,0.91461,0.80315,0.86552,0.60376,1.07764,0.78251,1.47277,0.00160905,0.00160905,0.00160905
14,536.814,1.07074,0.86367,1.36777,0.90251,0.86461,0.91264,0.64958,1.04996,0.72054,1.45053,0.00159913,0.00159913,0.00159913
15,571.951,1.05695,0.82844,1.34715,0.91969,0.88896,0.92093,0.64227,1.05888,0.65623,1.44568,0.00158847,0.00158847,0.00158847
16,608.372,1.05284,0.84921,1.35569,0.91624,0.89093,0.92184,0.67456,1.02317,0.64878,1.42741,0.00157706,0.00157706,0.00157706
17,645.153,1.0332,0.8189,1.34986,0.91738,0.83425,0.90004,0.64961,0.97839,0.66687,1.37547,0.00156493,0.00156493,0.00156493
18,681.613,1.03621,0.78552,1.34003,0.91193,0.85903,0.92043,0.66082,1.04628,0.71524,1.45667,0.00155209,0.00155209,0.00155209
19,716.457,1.01063,0.77589,1.31777,0.96928,0.86008,0.93942,0.67624,1.00744,0.60096,1.41336,0.00153854,0.00153854,0.00153854
20,752.832,1.02656,0.77799,1.33779,0.94762,0.87113,0.9389,0.68528,0.97271,0.6527,1.36054,0.00152431,0.00152431,0.00152431
