epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1539.16,0.87115,0.58377,1.22856,0.97596,0.93762,0.9769,0.74317,0.82715,0.40379,1.22237,0.00107205,0.00107205,0.00107205
43,1575.88,0.85827,0.57923,1.2185,0.98293,0.9434,0.97818,0.74495,0.85446,0.39901,1.22536,0.00104705,0.00104705,0.00104705
44,1613.93,0.85306,0.56587,1.20543,0.9731,0.94324,0.97473,0.73485,0.87223,0.41973,1.22523,0.00102184,0.00102184,0.00102184
45,1650.65,0.85303,0.56521,1.2112,0.9668,0.93433,0.97074,0.74687,0.83291,0.41595,1.21486,0.000996456,0.000996456,0.000996456
46,1688.7,0.82851,0.55162,1.19664,0.98591,0.92924,0.97494,0.75003,0.82938,0.39765,1.21594,0.000970919,0.000970919,0.000970919
47,1725.23,0.83101,0.54905,1.20191,0.96512,0.94353,0.97,0.75495,0.80495,0.41142,1.17953,0.000945256,0.000945256,0.000945256
48,1764.47,0.84724,0.56049,1.21258,0.96507,0.96267,0.97719,0.76128,0.7933,0.37917,1.16577,0.00091949,0.00091949,0.00091949
49,1802.87,0.83897,0.54707,1.20563,0.97695,0.94236,0.96624,0.74254,0.82031,0.39039,1.18763,0.000893648,0.000893648,0.000893648
50,1839.92,0.82502,0.54523,1.20219,0.97577,0.9264,0.97304,0.75276,0.82072,0.41,1.18293,0.000867754,0.000867754,0.000867754
51,1877.34,0.81971,0.5374,1.19523,0.96416,0.94046,0.97222,0.74625,0.81517,0.40451,1.20517,0.000841835,0.000841835,0.000841835
52,1913.12,0.78466,0.5202,1.16681,0.97273,0.92585,0.9634,0.75074,0.81736,0.38622,1.18717,0.000815916,0.000815916,0.000815916
53,1951.9,0.80407,0.52031,1.17406,0.96264,0.94827,0.97611,0.7553,0.79802,0.37702,1.18366,0.000790022,0.000790022,0.000790022
54,1988.81,0.79598,0.50802,1.17366,0.9765,0.94777,0.97606,0.76294,0.77738,0.36774,1.1666,0.00076418,0.00076418,0.00076418
55,2026.06,0.78988,0.51088,1.17728,0.97361,0.95152,0.97828,0.75931,0.79699,0.37059,1.17701,0.000738414,0.000738414,0.000738414
56,2062.99,0.78778,0.50534,1.16736,0.98704,0.94777,0.96807,0.77623,0.76103,0.35891,1.14651,0.000712751,0.000712751,0.000712751
57,2099.47,0.77439,0.49009,1.16381,0.98817,0.93805,0.97699,0.7598,0.79777,0.37135,1.1817,0.000687214,0.000687214,0.000687214
58,2136.65,0.76841,0.48762,1.15642,0.98953,0.94777,0.97824,0.76728,0.77848,0.36075,1.14936,0.000661831,0.000661831,0.000661831
59,2174.78,0.78645,0.49524,1.17784,0.96237,0.95903,0.9756,0.76297,0.79494,0.36425,1.1815,0.000636625,0.000636625,0.000636625
60,2213.39,0.76545,0.47709,1.16587,0.98373,0.93983,0.97924,0.77192,0.76736,0.36266,1.15062,0.000611621,0.000611621,0.000611621
61,2250.26,0.74509,0.46851,1.15164,0.95115,0.94144,0.96714,0.7547,0.77965,0.38963,1.16668,0.000586845,0.000586845,0.000586845
62,2286.59,0.75754,0.46355,1.14953,0.98083,0.95251,0.98016,0.77104,0.76899,0.36235,1.15497,0.00056232,0.00056232,0.00056232
63,2323.36,0.73394,0.45315,1.13976,0.99256,0.9557,0.97819,0.77023,0.75764,0.35334,1.15532,0.000538072,0.000538072,0.000538072
64,2360.74,0.73082,0.45252,1.14101,0.97974,0.93749,0.9648,0.76898,0.76056,0.35898,1.16192,0.000514122,0.000514122,0.000514122
65,2398.4,0.73624,0.46074,1.14915,0.978,0.95094,0.97663,0.7859,0.73062,0.3412,1.13256,0.000490497,0.000490497,0.000490497
66,2434,0.72329,0.45628,1.13506,0.98802,0.94675,0.97724,0.77619,0.75399,0.3436,1.15013,0.000467218,0.000467218,0.000467218
67,2470.8,0.72326,0.4593,1.13594,0.97709,0.94091,0.97646,0.77245,0.75207,0.36155,1.13947,0.000444309,0.000444309,0.000444309
68,2506.41,0.71516,0.45294,1.12772,0.97256,0.95332,0.97857,0.78398,0.74738,0.34725,1.14159,0.000421792,0.000421792,0.000421792
69,2545.15,0.70581,0.44144,1.1375,0.98145,0.95561,0.98006,0.77998,0.72855,0.34409,1.12321,0.000399689,0.000399689,0.000399689
70,2581.15,0.70414,0.4368,1.12016,0.98235,0.94304,0.97399,0.78682,0.73684,0.33928,1.12939,0.000378023,0.000378023,0.000378023
71,2617.68,0.69416,0.4366,1.12476,0.9805,0.9401,0.97486,0.78429,0.72419,0.33581,1.11938,0.000356815,0.000356815,0.000356815
72,2653.14,0.68418,0.42682,1.12102,0.98824,0.93967,0.97183,0.78363,0.73011,0.34188,1.12088,0.000336086,0.000336086,0.000336086
73,2690.06,0.68102,0.42285,1.11577,0.96793,0.9462,0.9695,0.78334,0.7333,0.35355,1.11831,0.000315855,0.000315855,0.000315855
74,2725.55,0.67677,0.41266,1.10498,0.98548,0.95392,0.97491,0.7908,0.72025,0.33304,1.11226,0.000296144,0.000296144,0.000296144
75,2764.48,0.68115,0.41816,1.11032,0.98657,0.95776,0.97703,0.78144,0.72954,0.3344,1.1189,0.000276971,0.000276971,0.000276971
76,2800.6,0.66294,0.40948,1.10098,0.97917,0.95656,0.98423,0.79126,0.72352,0.32141,1.1154,0.000258355,0.000258355,0.000258355
77,2837.44,0.68843,0.41365,1.1121,0.98544,0.96519,0.97842,0.78978,0.72065,0.32109,1.11237,0.000240316,0.000240316,0.000240316
78,2873.22,0.65659,0.39995,1.09504,0.98005,0.96431,0.9776,0.78979,0.70376,0.32023,1.11003,0.00022287,0.00022287,0.00022287
79,2909.76,0.63726,0.39261,1.0938,0.9876,0.95964,0.97362,0.79438,0.70992,0.31281,1.10927,0.000206034,0.000206034,0.000206034
80,2948.5,0.64522,0.39493,1.09324,0.99244,0.95648,0.97475,0.79075,0.71113,0.31921,1.11381,0.000189827,0.000189827,0.000189827
81,2984.75,0.65353,0.40044,1.09878,0.98933,0.95111,0.97509,0.79319,0.71658,0.31675,1.11274,0.000174262,0.000174262,0.000174262
82,3021.96,0.63939,0.39198,1.0919,0.98994,0.95015,0.97764,0.79945,0.69109,0.32019,1.09642,0.000159357,0.000159357,0.000159357
83,3057.74,0.63511,0.39605,1.0907,0.99299,0.95315,0.97535,0.79048,0.69765,0.31353,1.10373,0.000145125,0.000145125,0.000145125
