epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2964,1.26379,1.8459,1.58147,0.56377,0.56325,0.44106,0.26565,1.46774,2.89384,2.0379,0.000549205,0.000549205,0.000549205
2,76.8279,1.27887,1.21314,1.5259,0.49193,0.59489,0.51178,0.26928,1.70913,2.30067,2.23024,0.0011046,0.0011046,0.0011046
3,114.972,1.34616,1.27951,1.58859,0.67037,0.33681,0.41317,0.23843,1.78252,2.70742,2.29924,0.00165892,0.00165892,0.00165892
4,152.942,1.35789,1.34406,1.58115,0.90602,0.62092,0.7404,0.47231,1.41051,1.51969,1.85871,0.00166334,0.00166334,0.00166334
5,189.225,1.29862,1.19308,1.5517,0.85439,0.73035,0.7717,0.49311,1.38629,1.5638,1.88619,0.00166049,0.00166049,0.00166049
6,226.138,1.24075,1.11295,1.49474,0.8325,0.72917,0.81669,0.5476,1.23944,1.06424,1.6752,0.00165684,0.00165684,0.00165684
7,264.657,1.22235,1.08981,1.4797,0.80996,0.76431,0.80926,0.54673,1.27182,1.065,1.71358,0.00165238,0.00165238,0.00165238
8,300.06,1.18937,1.06458,1.46986,0.90574,0.82955,0.9113,0.60553,1.20126,0.85882,1.63196,0.00164713,0.00164713,0.00164713
9,337.187,1.16226,0.98692,1.42305,0.91718,0.85405,0.92344,0.60329,1.22343,0.78442,1.62883,0.00164108,0.00164108,0.00164108
10,373.012,1.1502,0.98993,1.4112,0.89347,0.79963,0.88408,0.61217,1.16562,0.88823,1.57806,0.00163424,0.00163424,0.00163424
11,410.46,1.10054,0.94829,1.37718,0.92293,0.84296,0.92074,0.64808,1.05856,0.72459,1.48586,0.00162661,0.00162661,0.00162661
12,448.715,1.13137,0.91463,1.41636,0.90599,0.85063,0.91365,0.62428,1.12673,0.75044,1.55934,0.00161822,0.00161822,0.00161822
13,485.487,1.09706,0.8877,1.38909,0.87174,0.86585,0.92548,0.66263,1.0436,0.7378,1.44823,0.00160905,0.00160905,0.00160905
14,521.935,1.08079,0.87722,1.36952,0.90833,0.86375,0.89922,0.64292,1.07012,0.71489,1.47674,0.00159913,0.00159913,0.00159913
15,558.767,1.07693,0.82586,1.35247,0.92516,0.89311,0.92667,0.65174,1.06109,0.66317,1.47076,0.00158847,0.00158847,0.00158847
16,595.026,1.03972,0.82982,1.33229,0.94301,0.91171,0.95144,0.6886,1.00439,0.61365,1.41507,0.00157706,0.00157706,0.00157706
17,633.347,1.04192,0.8051,1.33485,0.94288,0.88314,0.94438,0.68187,1.00945,0.62828,1.4324,0.00156493,0.00156493,0.00156493
18,670.196,1.0224,0.78434,1.32549,0.94784,0.91233,0.94401,0.68389,0.9827,0.58747,1.40556,0.00155209,0.00155209,0.00155209
19,705.716,1.0376,0.80133,1.3296,0.91681,0.89443,0.94366,0.69436,0.9718,0.60578,1.38277,0.00153854,0.00153854,0.00153854
20,742.819,1.04178,0.79539,1.32895,0.95594,0.90596,0.96123,0.70725,0.95631,0.54025,1.36295,0.00152431,0.00152431,0.00152431
21,780.744,1.02443,0.7679,1.3282,0.93167,0.91079,0.96166,0.70568,0.96067,0.56421,1.36578,0.00150941,0.00150941,0.00150941
22,817.469,0.99767,0.73977,1.31586,0.91953,0.89457,0.95717,0.70855,0.95374,0.58945,1.37801,0.00149384,0.00149384,0.00149384
23,853.971,0.99065,0.73218,1.2939,0.96063,0.90702,0.95184,0.6903,1.01911,0.57908,1.40658,0.00147764,0.00147764,0.00147764
24,891.596,0.99643,0.7154,1.30466,0.961,0.89756,0.95067,0.71532,0.95211,0.55134,1.36306,0.0014608,0.0014608,0.0014608
25,928.231,0.97504,0.73395,1.30407,0.94617,0.93048,0.96449,0.71342,0.9605,0.51452,1.37412,0.00144335,0.00144335,0.00144335
26,967.387,0.97201,0.68681,1.29067,0.95188,0.93429,0.95757,0.7124,0.96208,0.51152,1.36468,0.00142531,0.00142531,0.00142531
27,1003.7,0.98399,0.70646,1.29436,0.9458,0.90899,0.96053,0.71421,0.96241,0.52694,1.37548,0.0014067,0.0014067,0.0014067
28,1040.92,0.94339,0.68268,1.26173,0.93623,0.90533,0.9397,0.70817,0.92199,0.57076,1.33012,0.00138753,0.00138753,0.00138753
