epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2675,1.2671,1.86052,1.58876,0.25783,0.62257,0.20511,0.11398,1.36462,5.22071,1.82367,0.000549205,0.000549205,0.000549205
2,75.3797,1.27329,1.23248,1.54596,0.5907,0.64719,0.64894,0.36448,1.69618,2.04721,2.24539,0.0011046,0.0011046,0.0011046
3,110.798,1.34329,1.34114,1.58701,0.58283,0.5826,0.56084,0.25587,1.85906,1.69093,2.43588,0.00165892,0.00165892,0.00165892
4,146.38,1.32411,1.26792,1.57301,0.68133,0.70707,0.72786,0.41597,1.5032,1.8699,1.9705,0.00166334,0.00166334,0.00166334
5,181.634,1.27377,1.16726,1.51907,0.78392,0.75838,0.79791,0.50974,1.29794,1.59617,1.71978,0.00166049,0.00166049,0.00166049
6,217.023,1.23606,1.12727,1.49463,0.82659,0.67592,0.77641,0.49209,1.36979,1.19493,1.7798,0.00165684,0.00165684,0.00165684
7,253.571,1.22374,1.07828,1.48084,0.86822,0.84672,0.9146,0.60619,1.21498,0.86879,1.6379,0.00165238,0.00165238,0.00165238
8,289.919,1.20528,1.04872,1.46041,0.87375,0.86507,0.92256,0.62525,1.19805,0.81452,1.64436,0.00164713,0.00164713,0.00164713
9,324.68,1.14168,0.97346,1.41652,0.93128,0.85655,0.93719,0.63203,1.15032,0.7044,1.57715,0.00164108,0.00164108,0.00164108
10,361.072,1.1452,0.9632,1.41552,0.92318,0.89591,0.94798,0.6637,1.05379,0.69792,1.47776,0.00163424,0.00163424,0.00163424
11,395.894,1.12876,0.88214,1.3834,0.91387,0.89618,0.94414,0.65643,1.05209,0.71104,1.45847,0.00162661,0.00162661,0.00162661
12,432.705,1.10084,0.92457,1.38238,0.89567,0.84981,0.92893,0.62809,1.17712,0.79668,1.58127,0.00161822,0.00161822,0.00161822
13,467.226,1.08626,0.8804,1.37027,0.90992,0.8623,0.93631,0.64816,1.12441,0.68141,1.54301,0.00160905,0.00160905,0.00160905
14,505.46,1.04726,0.83507,1.3415,0.91827,0.91189,0.95358,0.67904,1.07671,0.59842,1.49748,0.00159913,0.00159913,0.00159913
15,541.184,1.05029,0.83247,1.34521,0.92518,0.89016,0.9421,0.65115,1.10645,0.67757,1.49996,0.00158847,0.00158847,0.00158847
16,576.549,1.0515,0.83144,1.33794,0.93627,0.90903,0.95558,0.68907,1.02252,0.59873,1.44053,0.00157706,0.00157706,0.00157706
17,611.827,1.02108,0.78777,1.32634,0.93954,0.85011,0.92331,0.60302,1.19873,0.78546,1.62929,0.00156493,0.00156493,0.00156493
18,647.735,1.04816,0.80125,1.34077,0.93357,0.89087,0.94852,0.68501,1.02719,0.61106,1.41679,0.00155209,0.00155209,0.00155209
19,684.058,1.02528,0.77955,1.3278,0.91502,0.90312,0.94825,0.6647,1.1027,0.6576,1.51665,0.00153854,0.00153854,0.00153854
20,719.611,1.01915,0.79838,1.32856,0.93911,0.90048,0.95717,0.7018,0.97062,0.55726,1.38034,0.00152431,0.00152431,0.00152431
21,757.014,1.00027,0.74721,1.32124,0.94278,0.88626,0.95662,0.69353,1.01019,0.60063,1.39893,0.00150941,0.00150941,0.00150941
