epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6209,1.2709,1.87801,1.58876,0.07492,0.62583,0.07334,0.0361,1.68177,11.2846,2.3073,0.000549205,0.000549205,0.000549205
2,75.1905,1.26397,1.21324,1.52804,0.64335,0.51336,0.52446,0.24389,2.10768,2.27059,2.59826,0.0011046,0.0011046,0.0011046
3,113.64,1.34415,1.26826,1.58755,0.89366,0.68976,0.80539,0.44343,1.58392,1.45144,2.07427,0.00165892,0.00165892,0.00165892
4,149.568,1.28946,1.21013,1.54187,0.7272,0.69899,0.73884,0.42999,1.58896,1.48214,1.97016,0.00166334,0.00166334,0.00166334
5,189.316,1.28868,1.19372,1.54147,0.792,0.70237,0.75458,0.4099,1.67096,1.29252,2.06364,0.00166049,0.00166049,0.00166049
6,225.612,1.25898,1.11854,1.51035,0.79204,0.76331,0.8335,0.52086,1.31144,1.21624,1.75235,0.00165684,0.00165684,0.00165684
7,263.747,1.20766,1.10033,1.46489,0.8578,0.75905,0.84116,0.56904,1.2094,1.15461,1.60668,0.00165238,0.00165238,0.00165238
8,300.23,1.16877,1.00945,1.43519,0.89978,0.83384,0.8885,0.60944,1.16068,0.91291,1.57902,0.00164713,0.00164713,0.00164713
9,337.248,1.13709,0.9558,1.40708,0.8805,0.80221,0.87621,0.60824,1.18149,0.84264,1.58552,0.00164108,0.00164108,0.00164108
10,376.661,1.12222,0.94663,1.39491,0.89358,0.77137,0.86466,0.59845,1.19706,0.89423,1.61077,0.00163424,0.00163424,0.00163424
11,412.955,1.11725,0.95828,1.40102,0.90256,0.77758,0.87055,0.60539,1.20961,0.92308,1.63347,0.00162661,0.00162661,0.00162661
12,450.825,1.12207,0.93052,1.40265,0.86012,0.87225,0.91304,0.627,1.17167,0.77824,1.58588,0.00161822,0.00161822,0.00161822
13,487.321,1.06528,0.88033,1.36721,0.92989,0.86281,0.9347,0.6586,1.14019,0.72057,1.54346,0.00160905,0.00160905,0.00160905
14,524.926,1.09494,0.88635,1.38787,0.88046,0.80583,0.88877,0.61505,1.14219,0.88299,1.55673,0.00159913,0.00159913,0.00159913
15,563.538,1.07399,0.84652,1.35521,0.93987,0.89077,0.94935,0.668,1.08552,0.68821,1.48207,0.00158847,0.00158847,0.00158847
16,600.649,1.02179,0.82351,1.32653,0.90087,0.90606,0.94765,0.69308,1.05861,0.63073,1.44719,0.00157706,0.00157706,0.00157706
17,638.378,1.03226,0.8024,1.33952,0.94745,0.86939,0.93374,0.66532,1.0725,0.68165,1.48803,0.00156493,0.00156493,0.00156493
18,674.9,1.0222,0.80105,1.31741,0.91547,0.85656,0.92242,0.6749,1.00835,0.69217,1.42844,0.00155209,0.00155209,0.00155209
19,712.475,1.02084,0.78963,1.31837,0.954,0.90442,0.95889,0.68958,1.03881,0.59899,1.4353,0.00153854,0.00153854,0.00153854
20,751.094,1.01135,0.78209,1.32704,0.95585,0.89104,0.9565,0.70658,0.97809,0.60911,1.38182,0.00152431,0.00152431,0.00152431
21,788.574,0.98781,0.75807,1.31208,0.94825,0.90339,0.95607,0.68588,1.03618,0.59393,1.44176,0.00150941,0.00150941,0.00150941
22,825.806,0.97475,0.7379,1.29464,0.94454,0.8736,0.94325,0.70382,1.00846,0.60362,1.40321,0.00149384,0.00149384,0.00149384
